FID,INDICATIVO,NOMBRE,PROVINCIA,ALTITUD,COORD_X,COORD_Y,VAR_OBSVER,DATUM,TIPO
366,6277B,"ADRA,CLUB NAÚTICO",ALMERIA,8.000000000000000,498165.000000000000000,4066832.000000000000000,hIHBVmtTMpP,ETRS89,AUTOMATICAS
367,6281X,VÁLOR,GRANADA,1020.000000000000000,493649.000000000000000,4095460.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
368,6291B,EL EJIDO,ALMERIA,98.000000000000000,516683.000000000000000,4069898.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
369,6293X,"ROQUETAS DE MAR, FARO SABINAR",ALMERIA,3.000000000000000,526653.000000000000000,4060187.000000000000000,hIHBVmtTMpP,ETRS89,AUTOMATICAS
370,6307X,LÁUJAR DE ANDARAX,ALMERIA,1518.000000000000000,507782.000000000000000,4098543.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
371,6329X,"CABO DE GATA, FARO",ALMERIA,52.000000000000000,572060.000000000000000,4064331.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
372,6332X,"CARBONERAS,C.TÉRM.",ALMERIA,16.000000000000000,597579.000000000000000,4093246.000000000000000,hIHBVmtTMpP,ETRS89,AUTOMATICAS
373,6340X,"GARRUCHA, PUERTO",ALMERIA,6.000000000000000,605043.000000000000000,4115373.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
374,6364X,ALBOX,ALMERIA,508.000000000000000,575103.000000000000000,4140325.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
375,6367B,HUERCAL OVERA,ALMERIA,300.000000000000000,593512.000000000000000,4138723.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
376,6375X,FUENTE DE PIEDRA,MALAGA,420.000000000000000,345271.000000000000000,4110992.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
377,7002Y,ÁGUILAS,MURCIA,26.000000000000000,625041.000000000000000,4142095.000000000000000,hIHBVmtTMpP,ETRS89,AUTOMATICAS
378,7007X,MAZARRÓN (I.O.E. - AUT.),MURCIA,3.000000000000000,655905.000000000000000,4160282.000000000000000,hHmtTMpP,ETRS89,AUTOMATICAS
379,7023X,FUENTE ÁLAMO,MURCIA,140.000000000000000,661516.000000000000000,4177040.000000000000000,hHmtTMpP,ETRS89,AUTOMATICAS
380,7026X,TORRE PACHECO (C.C.A.),MURCIA,50.000000000000000,679088.000000000000000,4178790.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
381,7031X,MURCIA/SAN JAVIER II,MURCIA,4.000000000000000,693232.000000000000000,4183489.000000000000000,RheNvIHBVmtTMpP,ETRS89,AUTOMATICAS
382,7072Y,SEGE,ALBACETE,960.000000000000000,561746.000000000000000,4238783.000000000000000,hHmtTMpP,ETRS89,AUTOMATICAS
383,7080X,BENIZAR,MURCIA,955.000000000000000,588668.000000000000000,4236074.000000000000000,hHmtTMpP,ETRS89,AUTOMATICAS
384,7096B,HELLÍN,ALBACETE,605.000000000000000,613027.000000000000000,4266745.000000000000000,hHBVmtTMpP,ETRS89,AUTOMATICAS
385,7103Y,TOBARRA,ALBACETE,615.000000000000000,614141.000000000000000,4271879.000000000000000,hHmtTMpP,ETRS89,AUTOMATICAS
386,7119B,"CARAVACA,FUENTES DEL MARQUÉS",MURCIA,643.000000000000000,598441.000000000000000,4217783.000000000000000,hIHBVmtTMpP,ETRS89,AUTOMATICAS
387,7121A,CALASPARRA,MURCIA,350.000000000000000,613580.000000000000000,4232593.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
388,7138B,JUMILLA EL ALBAL,MURCIA,485.000000000000000,645247.000000000000000,4258045.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
389,7145D,"CIEZA, PARQUE DE BOMBEROS",MURCIA,265.000000000000000,641737.000000000000000,4232883.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
390,7158X,ARCHENA,MURCIA,150.000000000000000,648489.000000000000000,4221379.000000000000000,hHmtTMpP,ETRS89,AUTOMATICAS
391,7172X,"MULA, P. BOMBEROS",MURCIA,255.000000000000000,636087.000000000000000,4211543.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
392,7195X,CARAVACA (LOS ROYOS- AUT.),MURCIA,985.000000000000000,582760.000000000000000,4198035.000000000000000,hHmtTMpP,ETRS89,AUTOMATICAS
393,7203A,ZARZILLA DE RAMOS,MURCIA,646.000000000000000,599446.000000000000000,4189189.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
394,7209,LORCA,MURCIA,312.000000000000000,615799.000000000000000,4168318.000000000000000,heHBVmtTMpP,ETRS89,AUTOMATICAS
395,7211B,PUERTO LUMBRERAS,MURCIA,445.000000000000000,606219.000000000000000,4158572.000000000000000,hHmtTMpP,ETRS89,AUTOMATICAS
396,7218X,TOTANA,MURCIA,225.000000000000000,631929.000000000000000,4180459.000000000000000,hHVmtTMpP,ETRS89,AUTOMATICAS
